Date,full_text,retweet_count
2021-10-25,I trimmed T TMUS VZ BA PDCO CHWY all right before their major drops retractions Im feeling good,0
2021-10-25,Verizon VZ chart on,0
2021-10-29,VZ FB AAPL NKE MMM Can someone please explain why SHIB coin is going up Is it replacing DOGE Are coins being burned Any conversation will be greatly appreciated FB MMM VZ AAPL NKE,0
2021-10-29,Hey TMUS is down 20 in three months and NO dividend you are turning into ATT and VZ but without the dividend income BIG change since left Not good,0
2021-11-01,AMZN VZ just in People are sleeeping on Verizon AMZN Bullish VZ,0
2021-11-01,VZ with a Bullish outlook following its earnings Stocks VZ chart on,0
2021-11-01,THIS WEEKEND IT S WAR MIAMIvsMICHIGAN ROTE RiseOfTheEmpire BFBG VZ BattleRap NOV 6,0
2021-11-02,Quote reply with your favourite movie of SRK,2
2021-11-02,Cape Verde deal saves a corrupt VZ from more than 20 years jail time Interesting read how the Island Nation negotiated lesser time Where did that money come from U S Department of Justice United States Attor,0
2021-11-02,NAWBO Helps Bring Digital Transformation to Diverse Small Businesses Throughout U S with Verizon Small Business Digital Ready More than 100 000 small businesses closed due to the pandemic with a disproport VZ StockstoWatch Telecommunication,0
2021-11-02,Timeless VZ,0
2021-11-04,Best Black Friday iPhone 12 Deals 2021 Early iPhone 12 amp 12 mini Sales Reported by Save Bubble BOSTON BUSINESS WIRE Compare the latest early Apple iPhone 12 deal VZ Stocks Telecomm,0
2021-11-05,Fascinating stocks Allena Pharmaceuticals Inc NASDAQ ALNA 2 50 Verizon Communications Inc NYSE VZ 0 50 The payout ratio is a key financial metric used to determine the susta VZ Stocks Telecomm,0
2021-11-06,My brain is still marinating in the sparkles of but I have to say one thing There are two people who I have not stopped thinking about all week Two of my amazing teammates one from Venezuela and one from the Philippines VZ PH,0
2021-11-08,Acute Care Hospital Beds Excluding ICU Market Size 2021 2027 SWOT Analysis Industry Share Global Growth Regional Overview DigiSensus Global major manufacturers operating situation sales revenue gro VZ Stocks Telecomm,0
2021-11-09,USD students risking their lives to cross Linda Vista Road The movements show desirelines for Safe Routes to Schools VZ corridor SRTS CAP saferoutestotransit,5
2021-11-09,This stocks will boost Up Your investment Color Star Technology Co Ltd NASDAQ CSCW 3 00 Verizon Communications Inc NYSE VZ 0 31 On 08 NOV 2021 Monday Shares of Color Star Technology Co Ltd NAS VZ Stocks Telecomm,0
2021-11-09,R u excited for tonight DWTS,1828
2021-11-09,I would love to see a vz they only 4years apart in age let s get it osoTHEgod poorrichkids,0
2021-11-10,My energy was all the way off this battle but I still had some ish Avengerz VZ RIPQuique,0
2021-11-10,IoT Connectivity Solutions Market Worth Observing Massive Growth ATandT US Telit Italy Cisco US Vodafone UK Ericsson Sweden Verizon US Telefnica A Latest report titled IoT Connectivity Solutions VZ Stocks Telecomm,0
2021-11-11,Strip the SF Board of Supervisors of their authority to approve necessary ped active transpo safety projects Create an independent decision making body Clearly their approach and decisions are failing MTA takes some blame but they do not have veto power like Supes VZ,2
2021-11-11,Huge Growth of Optical Wavelength Services Market by 2028 with Top Key Players Verizon AT amp T Nokia LSMedia Optical Wavelength Services Market is growing at a High CAGR during t VZ Stocks Telecomm,0
2021-11-14,TheLastDaysOfDisco Vz Edition,4
2021-11-14,Que tiempos aquellos All estuve solo que fue el que hizo el v deo,25
2021-11-15,Check out my Killahsiz battle too AVENGERZ GodSmoke VZ,0
2021-11-15,Best Black Friday Pixel 6 Deals 2021 Best Early Networked amp Unlocked Google Pixel 6 amp 6 Pro Savings Published by Deal Tomato Black Friday deals researchers at Deal Tomato have highlighted the top VZ Stocks Telecomm,0
2021-11-16,Unified Communication as a Service UCaaS Market Recovery and Impact Analysis Report Verizon Enterprise Solutions IBM Corporation Cisco Systems Energy Siren Get Sample Report Buy Complete ReportUnified Com VZ Stocks Telecomm,0
2021-11-17,M2M Cellular Modules Market to witness Huge Growth with Projected ATandT U S Verizon Communications U S Vodafone Group UK Energy Siren A recent market research report added to repository of Global Market VZ Stocks Telecomm,0
2021-11-17,3 Best Dividend Stocks for Retirement KO KO DUK DUK VZ VZ Investors beyond their working years need picks that balance above average payouts with reliable longevity,0
2021-11-18,Happy Birthday Nov 18 Purser P James Chinapat QR VZ,0
2021-11-18,Motorola Solutions Wabco AT amp T Zebra Technologies Verizon Energy Siren JCMR recently announced Tracking as a Service market survey which cove VZ Stocks Telecomm,0
2021-11-18,Copper Elliottwave Analysis Please like and share if you appreciate this chart algotrading NDX SPX MSFT APPL AMZN GOOG GOOGL FB AMD NVDA SMH XLK JPM M PG UNH INTC VZ MA PFE MRK BAC DIS NFLX TSLA copper FCX,1
2021-11-19,So this vz battle got my volume at 3 even tho the hits got my neck snappn,0
2021-11-19,Happier than this bonethugsnharmony vz three6mafia about your birthday DARRELL LOVE ya brother 4EVER MY thankyou 4 SAVING MY L FE THAT DAY,0
2021-11-19,Automotive After Market is Booming Worldwide with Top Growing Companies Continental AG TomTom International Verizon Telematics Geotab Agero Delphi Energy Siren Automotive After Market 2021 research provides a d VZ Stocks Telecomm,0
2021-11-22,Meanwhile San Diego staff s proposal to ban new drive thru restaurants within a half mile of a transit stop is delayed indefinitely after four s from and,1
2021-11-22,Leaders boast new Midcoast amp need for more transit but fail to understand the problems with drive thrus Any new drive thru built in the next year will remain for 30 yrs These car centric uses are NOT Environmentally Friendly Development amp don t help city meet VZ CAP goals,0
2021-11-22,Meanwhile San Diego staff s proposal to ban new drive thru restaurants within a half mile of a transit stop is delayed indefinitely after four s from and,1
2021-11-23,Vibe hard he buddy vz vzzorawar,0
2021-11-23,LIKE TO BE BURBURRY vz vzzorawar,0
2021-11-24,This is as an excellent recommendation by City staff It is unfortunate that CM s failed to support Is it feasible for to support city staff on this effort and continue to push forward Land use policy is a critical strategy to address CAP VZ,0
2021-11-26,Breaking NEWS vz vz VZBATTLEROYAL 4 THAGE,1
2021-11-26,It s Time For A Second Helping Of These Hot Stocks VZ VZ verizonstock nvidiastock robloxstock,0
2021-11-27,Visited Between Flowers Design owners Daniel amp Nayibe Perez in FL23 on SmallBusinessSaturday They came to the US from VZ w their family starting 1 of the vital Small Businesses that form the backbone of our economy shoplocal shopsmallbusiness SmallBusisness ShopSmall,5
2021-11-30,some of recent buys for me mmm jnj PG Vz,0
2021-12-01,Sold 37 88 Lots of VZ N 49 8 SL 59 02 TP 22 14 stocks Forex Futures Trade at your own risk This is not an investment advice,0
2021-12-01,TRAP HiP HOP vz vzzorawar,0
2021-12-02,My entire timeline is Saints vs Cowboys We all see the outcome beforehand But This is the best game on tonight Verzuz BoneThugs VZ ThreeSixMafia ImGonnaWatchTheTooBecauseImTryingToHit,0
2021-12-02,Oh I see a album in these classics but I dont see no albums Bone better serve these ny99 Bone VZ 36mafia BoneVzThreeSix,0
2021-12-02,3 6 VZ Bone Thugs tomorrow who yall got I got 3 6,0
2021-12-02,Is It Time to Buy the Dow Jones 3 Worst Performing Stocks of 2021 AMGN AMGN VZ VZ DIS DIS The pullbacks make short term sense but may ultimately be long term mistakes,0
2021-12-03,Best part of the VZ for me was in the comments not recognizing Body Rott Idk why they played that song,0
2021-12-03,Best reaction verzuz threesix bonethugs vz 36mafia,0
2021-12-03,Body Rott was a trash song on the cd Idk why them nyggas played that in a VZ,0
2021-12-03,Bizzy is always fucking shit up VZ,0
2021-12-03,I enjoyed myself too much watching bonethugsnharmony vz 36mafia battle My neighbor call the landlord and they called me but I didn t answer,0
2021-12-06,VZ below 50 86 looks good for PUTS,0
2021-12-07,Enjoyed the Annual Chairman s Circle Luncheon with one of my favorite colleagues Aaron H Hall Always great to hear about the amazing things moving in Memphis Looking forward to the investments ahead forwardtogether vz verizon,1
2021-12-07,Get the Top 71 Outperformers Benchmark for FREE ONT LPX TOTAL SPGI PME FB AAL GOOG NXT EL PG SIVB VEEV OR MMC LVMUY ANCT GMAB CMG RTOK RCM ALFV CRC PYPL AMZN TSLA SBGS VZ L,0
2021-12-09,Verizon network outage Users also have privacy concerns for the app via Verizon VerizonOutage VerizonDown VerizonIssue privacy VZ VZ,4
2021-12-11,VETERANS recovery documentary free on this link or Amazon Prime hartford bridgeport queens boston bronx florida vz mo,0
2021-12-14,Est Tickets Footfalls in UK lifetime 2001 KabhiKhushiKabhieGham 603623 6 03 lakhs DDLJ 454022 4 54L KKHH 451612 4 5 VZ 448106 4 4 MNIK 442016 4 4 KANK 423203 4 2 D3 415007 4 1 Devdas 393006 3 9 KHNH 377252 3 7 BB 368932 3 68L,14
2021-12-16,The power of algotrading in SPX We anticipated this Measured Move on the Discord synchronized with the VIX Join us algotrading Elliottwave NDX SPX MSFT APPL AMZN GOOG GOOGL FB AMD NVDA SMH XLK JPM M PG UNH INTC VZ MA PFE,0
2021-12-16,I missed this great buy signal at 50 78 Check out my VZ analysis on,0
2021-12-16,Telecommunications bad days are over VZ chart on,0
2021-12-16,Bangkok BKK to Melbourne MEL 63 OFF Roundtrip May 2022 Thai Vietjet Air VZ Jetstar JQ AIR TRAVELER CLUB price 214 regular price 580 flightdeal,0
2021-12-17,Is this one of the top stocks to buy now We ll use our Stock Analyzer Tool to calculate a good VZ stock price and perform a Verizon stock analysis to examine the company with value investing and trading perspectives verizonstock verizonstockanalysis vz vzstock vzstockprice,0
2021-12-19,A man drove his Camry onto the sidewalk 1 block from Balboa Park struck a light post amp parking meter amp sent himself and 2 pedestrians to the hospital The 2 pedestrians were men aged 65 75 1 is fighting for his life w serious internal injuries VisionZero Photos via,0
2021-12-21,Follow thread Since the beginning of December more than 20 families are now facing life changing trauma due to collisions involving a vehicle Some have lost family and friends while others will face years maybe a lifetime trying to recover trafficviolence VZ,1
2021-12-22,sell mo VZ,0
2021-12-23,and will still lose in a VZ battle against I m sorry,0
2021-12-23,ok since nobody going to say about the verzuz everybody thinking about now barbarastreisand vz mariahcarey,0
2021-12-23,,0
2021-12-27,PDVSA,0
2021-12-28,VZ relied on IR to obtain key diluent to enable higher CUR But PDVSA s infrastructure to discharge and store diluents stretched thin thereby causing delays to crude exports Diluents storage needs cannibalise much needed tankers systemanalysis,0
2021-12-30,TOP 10 STOCKS JANUARY 2022 RICH TV LIVE 7 DIVIDEND STOCKS via TOP10 TOP10STOCKS WIN RICHTVLIVE STOCKS TRADING EDUCATION MONEY KO SOFI ENB T PYPL VZ PFE MO WNDR BUSINESS NEWS FINANCE StockMarket SPONSORED 2500 CAD,2
2021-12-31,As the Sun Sets on 2021 These 5 Stocks Are My Highest Conviction Holdings GOOGL GOOGL SHOP SHOP WMT WMT VZ VZ NVDA NVDA Start 2022 on solid footing with companies not only built to last but also poised to keep growing,1
2022-01-01,Yellow DIRTY FELLOw vz vzzorawar,0
2022-01-02,First plane that goes down destroys stock right Shareholders don t care AT amp T Verizon Reject U S Request for Delay in New 5G Service WallSt WallStreet Vz T,0
2022-01-02,Q Do planes need altimeters to fly safely A Depends whose profit motive you are considering faa vz att 5g,0
2022-01-04,The carriers faced pressure from the White House airlines and aviation unions amid concerns about potential interference of 5G that could disrupt flights The agreement pushes back the deployment date to Jan 19 stocks verizon at amp t 5g vz t carriers,0
2022-01-04,VZ Verizon and AT amp T to delay 5G installation over aviation industry concerns VZ,0
2022-01-05,Taipei City TPE to Bangkok BKK 46 OFF Roundtrip Feb 2022 Thai Vietjet Air VZ AIR TRAVELER CLUB price 141 regular price 263 flightdeal,0
2022-01-05,VETERANS recovery documentary free on this link or Amazon Prime hartford bridgeport queens boston bronx florida vz mo,0
2022-01-06,NEW FROM ME Visible s offering which provides two weeks of free service represents an important step forward in the eSIM market because Verizon is parent company VZ eSIM,0
2022-01-06,I welcome a deal to extend authority of a democratically elected VZ National Assembly interim Pres The Maduro regime s brutal political persecution human rights abuses must end The U S stands by the people of Venezuela in their quest for freedom and democracy,73
2022-01-07,From our family to yours we wanted to acknowledge our local partners for their continued efforts to positively impact the communities they serve Cheers to a prosperous and rewarding 2022 Verizon VZ CommunityEngagement SocialGood CSR,1
2022-01-12,I m swinging VZ added a few more calls this morning ApeNation JustHodl Hodl2Gorillion,0
2022-01-13,I might not be an expert in charting yet but it sure looks like VZ is at support in the ascending corridor on the daily chart VZ StocksToWatch,0
2022-01-14,VZ Put Volume 677 Open Interest 103 Volume USD 76 883 Underlying price 53 42 Last Option Price 1 1 VZ VZ,0
2022-01-16,VETERANS recovery documentary free on this link or Amazon Prime hartford bridgeport queens boston bronx florida vz mo,0
2022-01-18,Kick last year s habit to the curb DYK 45 of wrong way driving crashes in FL involve an impaired driver Driving under the influence of drugs or alcohol risks your life and the lives of others Everyone deserves to arrive at their destination safely Never drive impaired VZ,1
2022-01-18,VZ Put Lotto Volume 2355 Open Interest 704 Volume USD 107 172 Underlying price 52 92 Last Option Price 0 54 VZ VZ,0
